elevation,population_2020,rwi,No. Víctimas por Declaración,No. Sujetos Atención ,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",Amenaza,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,Desaparición forzada,Desplazamiento Forzado,"Homicidio, Masacre","Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",Secuestro,Tortura,Perdida de Bienes Muebles o Inmuebles ,Lesiones Personales Fisicas,Lesiones Personales Psicologicas,comimo_dist,airports_dist,seaport_dist,settlement_dist,finance_dist,edu_dist,buildings_dist,railways_dist,waterways_dist,roads_dist,coca_dist,Vocacion_Agroforestal,Vocacion_Agrícola,Vocacion_Conservación de Suelos,Vocacion_Cuerpo de agua,Vocacion_Forestal,Vocacion_Ganadera,Vocacion_Zonas urbanas,CLIMA_Cuerpo de agua,CLIMA_Cálido húmedo,CLIMA_Cálido húmedo a muy húmedo,CLIMA_Cálido seco,CLIMA_Cálido seco a húmedo,CLIMA_Frío húmedo a muy húmedo,CLIMA_Frío húmedo y frío muy húmedo,CLIMA_Frío muy húmedo,CLIMA_Muy frío y muy húmedo,CLIMA_Templado húmedo a muy húmedo,CLIMA_Zona urbana,TIPO_RELIE_Cuerpo de agua,TIPO_RELIE_Espinazos,TIPO_RELIE_Filas y vigas,TIPO_RELIE_Glacís coluvial y coluvios de remoción,TIPO_RELIE_Glacís y coluvios de remoción,TIPO_RELIE_Lomas y colinas,TIPO_RELIE_Plano de inundación,TIPO_RELIE_Terrazas,TIPO_RELIE_Terrazas y abanicos terrazas,TIPO_RELIE_Vallecitos,TIPO_RELIE_Vallecitos coluvio-aluviales,TIPO_RELIE_Zona urbana,LATITUD_Y,LONGITUD_X,geometry,mines_outcome,LGBM,LR,SVM,
-0.794230696,-0.095901031,-0.070568325,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.197524369,1.583854585,-0.286726797,2.302118345,-0.65546173,1.287510261,0.203799831,2.486597434,0.431683027,-0.856805375,3.848819342,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.669407125,-75.52705283,POINT (-75.52705283337916 5.66940712537039),-1,0.887333668,0.040586058,0.973771397,
-0.963759455,-0.095901031,-0.32710634,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.344296483,1.509649033,-0.328382592,2.463943045,-0.560108848,1.127729335,0.14774594,2.481790883,-0.308294067,-0.541209626,3.896901255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.678381484,-75.52705283,POINT (-75.52705283337916 5.678381484344749),-1,0.871187452,0.04120124,0.938560651,
-1.017762246,-0.095901031,-0.32710634,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.490980944,1.435509938,-0.368999861,2.306216662,-0.55283594,0.981627198,0.154188889,2.477507499,-1.012712905,-0.812331222,3.94812109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.687355843,-75.52705283,POINT (-75.52705283337916 5.687355843319108),-1,0.921347984,0.044374044,0.926120459,
-1.116345407,-0.095901031,-0.625143153,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.325785262,1.493990652,-0.277816041,1.920884432,-0.662501899,1.326012856,-0.169141206,2.432526333,-0.441280428,-0.589164435,3.77596632,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.678381484,-75.51807847,POINT (-75.5180784744048 5.678381484344749),-1,0.813475591,0.048971749,0.94704676,
-1.133241959,-0.095901031,-0.625143153,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.470318575,1.41955901,-0.317600715,1.73875222,-0.552939869,1.190064777,-0.161122527,2.428198161,-0.644795631,-0.831153017,3.828517779,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.687355843,-75.51807847,POINT (-75.5180784744048 5.687355843319108),-1,0.916141682,0.049210344,0.947385549,
-0.932610045,-0.095901031,-0.389354535,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.969086013,1.223033436,-0.733108909,1.053130846,-1.341878542,-0.363770338,1.041831231,2.663370973,-0.955798887,-0.815608897,4.645478633,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.723253279,-75.56295027,POINT (-75.56295026927658 5.723253279216544),-1,0.916570909,0.032449505,0.640732312,
-0.992716194,-0.095901031,-0.389354535,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-1.035079142,1.200087433,-0.680797877,1.614793119,-1.206067113,-0.131585932,0.725161831,2.613935135,-1.059172711,-0.523755362,4.528657001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.723253279,-75.55397591,POINT (-75.55397591030223 5.723253279216544),-1,0.873599385,0.031572994,0.76572685,
-0.387403204,-0.095901031,-0.911862111,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.783196433,1.324800589,-0.551194795,2.485099781,-0.952946475,0.299182307,0.583109956,2.569285889,-1.149884789,0.255437391,4.29523016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.705304561,-75.54500155,POINT (-75.54500155132787 5.705304561267826),-1,0.876166425,0.031299685,0.862909493,
-0.280561503,-0.095901031,-1.240079867,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.929168086,1.251611432,-0.59013417,2.26661279,-1.018634958,0.187890092,0.472187245,2.566634438,-0.633336438,-0.364730374,4.35252811,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71427892,-75.54500155,POINT (-75.54500155132787 5.714278920242185),-1,0.913299768,0.028741139,0.823566249,
-0.574870664,-0.095901031,-0.32710634,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.495307894,1.452825614,-0.419740308,2.694670821,-0.670402823,0.78039555,0.470422724,2.526820197,-1.080499763,-0.943320629,4.068302272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.687355843,-75.53602719,POINT (-75.53602719235352 5.687355843319108),-1,0.944961276,0.0387539,0.945657648,
-0.806780565,-0.095901031,0.461370796,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-1.196299976,1.079027911,-0.808185104,0.992789517,-1.400769452,-0.456798081,1.066655498,2.660707742,-0.508498375,0.667771036,4.767769582,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.741201997,-75.56295027,POINT (-75.56295026927658 5.741201997165262),-1,0.770542066,0.037255181,0.942066704,
-1.014642312,-0.095901031,0.461370796,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-1.403151747,0.982925011,-0.788323905,1.616056229,-1.245020448,-0.186554702,0.820197988,2.610671307,-0.085061281,1.100908704,4.719630598,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.750176356,-75.55397591,POINT (-75.55397591030223 5.750176356139621),-1,0.768309355,0.030953893,0.90386668,
-0.804958432,-0.095901031,0.124958033,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-1.469839241,0.910844874,-0.821148822,1.093364472,-1.209947922,-0.144522013,0.594796051,2.610609919,0.402718414,0.374563085,4.788006799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.759150715,-75.55397591,POINT (-75.55397591030223 5.75915071511398),-1,0.822585817,0.029305656,0.764821486,
-1.002774574,-0.095901031,-2.609540156,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-1.4769162,0.838934791,-0.852333965,0.607162925,-1.153502126,-0.073754809,0.377892896,2.611061979,-0.374060796,-0.17540184,4.85860284,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.768125074,-75.55397591,POINT (-75.55397591030223 5.7681250740883385),-1,0.919062,0.033389968,0.972486982,
-0.48041911,-0.095901031,-2.609540156,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-1.434455662,0.767205835,-0.881798619,0.192874864,-1.079234022,0.030718614,0.194623994,2.612027341,-0.858522248,-0.145239923,4.931337126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.777099433,-75.55397591,POINT (-75.55397591030223 5.7770994330626975),-1,0.911256716,0.033291616,0.991161687,
-0.57664604,-0.095901031,-1.385325655,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-1.338120015,0.695670034,-0.909461586,-0.075916745,-0.9907282,0.163135403,0.057209485,2.613505697,-0.808665251,0.43559839,5.006129715,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.786073792,-75.55397591,POINT (-75.55397591030223 5.786073792037056),-1,0.816871916,0.030785579,0.984866662,
